index,source_id,source_path,file_type,document_char_count,document_word_count,chunk_count,avg_chunk_words,max_chunk_words,min_chunk_words,status
118,1gj2Y54bLgJfS97_laGayp47TaO5nDBeM,Technical Teams/Fluids and Internal Structures/FIS Structures/MathCAD/MathCAD Tank Tab Analysis.pdf,pdf,307,59,1,59.0,59,59,ok
119,1c_cI3kK1FidnW1jOcQh60LPa6vM4Y-kN,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/README.md,md,6173,891,2,446.5,767,126,ok
120,10TG4Ygljo3w0FOaRMOk73f7wrlqAJ4WM,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_8.00s.csv,csv,24254,2978,4,744.5,900,279,ok
121,1i3ZEjjAl8_axFAnbe7ZfGPz0n-qpZFHa,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_12.00s.csv,csv,37125,4460,5,892.0,900,861,ok
122,1y_h2O3mdQjCyfiDErlIhFZ1ZAAwif2jb,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_11.00s.csv,csv,33889,4091,5,818.2,900,492,ok
123,12dHsCYj-MsCE5g03KCMr1uchaVWYuS3B,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_14.00s.csv,csv,43476,5201,6,866.83,900,702,ok
124,11TsNZYChB5SM6LCPLoKXyF_4RSC68e4b,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_14.50s.csv,csv,45118,5387,6,897.83,900,888,ok
125,1uGSeBnh0KxqNjcFdh4XNLsljIMXKWzWX,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_6.00s.csv,csv,18246,2237,3,745.67,900,438,ok
126,1jiuhubwVbY8u8cXqCZ0BtVAOaWclikA2,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_7.50s.csv,csv,22748,2792,3,930.67,993,899,ok
127,1hqj3mFiupYp0rAWTAo6MuQeWDGHW72Fr,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_8.50s.csv,csv,25835,3164,4,791.0,900,465,ok
128,1YH8jCEqmPgt5G2LLsgbDSWGwBkF0wkHA,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_9.00s.csv,csv,27428,3347,4,836.75,900,648,ok
129,1y3KMqMLdjuFetbzQl_UEMQw7kdolzyLb,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_12.50s.csv,csv,38764,4646,6,774.33,900,147,ok
130,1-k_5hwXpIqIlapxZZz97Arjz4nDe_onH,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_15.00s.csv,csv,46735,5573,7,796.14,900,174,ok
131,1UtBC_r6jS6JCptqQqZiAnubpdkkpKgA8,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_13.50s.csv,csv,41990,5018,6,836.33,900,519,ok
132,1G3rxXN_b_t_-seQycgARtJ6yPzkoyqNv,Technical Teams/Fluids and Internal Structures/FIS Structures/Open Rocket/Drag Analysis with New Thrust Curve/Compiled CSV Files/Python Script Results/thrust_curve_10.00s.csv,csv,30619,3719,5,743.8,900,120,ok
