index,source_id,source_path,local_path,extension,status,char_count,word_count,error
38,12tM8-XkHcoZLx-TGs-IArF7Qwl5C6_UmYGmMpR5y6oE,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Templates/Check Valve Troubleshoot Task Document ,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Check Valve Troubleshoot Task Document.txt,.txt,ok,4755,803,
39,1jN6qtEXvA2LKTY5_ILvoM-axjloI27tx8yp-8Fnl7mY,Technical Teams/Fluids and Internal Structures/Leadership (Lead Folder)/Templates/Copy of Task Document Template,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Copy of Task Document Template.txt,.txt,ok,369,47,
40,1xcYWDAlUg5ryvbeNHmn94itR7u8kh7l8UInG-uKaFsk,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing team structure,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Testing team structure.txt,.txt,ok,177,28,
41,1kzqXV4h8QIg-6MeU3rb1Dn1gnDyg_dHc--Qf4AgWIko,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing Tasks,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Testing Tasks.txt,.txt,ok,4087,772,
42,1SwX6lf-_Br9P844X-fjUTUvnZ7dkRXukNluGxjtfF_w,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Tube sızıng,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Tube sızıng.txt,.txt,ok,705,161,
43,15x1Ly0Gz6R0SoCDDTHTJ8K4x46P8VYeYokOr1N6QZIk,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Globe Valve Search for E-Reg,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Globe Valve Search for E-Reg.txt,.txt,ok,278,45,
44,1lZhurOJCNQdjcwpXxO0gFntDul7xQjOkIbVZ4TAtIH0,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Nitrogen tanks on ground?,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Nitrogen tanks on ground_.txt,.txt,ok,1407,259,
45,1AsxysV1SmV5Kr4Jele9eUY-Rthm0u971brmeYAjpmpA,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Test Stand Procedures and Safety,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Test Stand Procedures and Safety.txt,.txt,ok,3606,619,
46,1f_-jrZy6ntob_5elg6xnN2I84iIZjbLi_r5l5zA9Dlc,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Shopping list,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Shopping list.txt,.txt,ok,226,36,
47,1iqdn-99D9zD1jEh9GVyS3C6eN-whc1i15bHEryemqvQ,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing Links,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Testing Links.txt,.txt,ok,2076,185,
48,10PCHPJaKD2Fz6IjCODZGWbAi8woLQKeNzUIi0piQ6uY,Technical Teams/Fluids and Internal Structures/Archive (legacy)/Testing Procedure Draft,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Testing Procedure Draft.txt,.txt,ok,879,159,
49,1NkmHZznDD0Hhe9lHTDYvvFNpqdqfd1hcptWgO8-zekw,Technical Teams/Fluids and Internal Structures/Archive/Arduino Code/RAND-E Pressure Transducers,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/RAND-E Pressure Transducers.txt,.txt,ok,8078,1156,
